country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","18-03-2026 16:00:00",30.719859,76.738637,SO2,6,7,6
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","18-03-2026 16:00:00",21.194815,81.314770,CO,10,24,15
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-03-2026 16:00:00",21.185571,81.343175,PM10,18,32,23
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-03-2026 16:00:00",21.185571,81.343175,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","18-03-2026 16:00:00",21.185571,81.343175,SO2,7,9,8
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","18-03-2026 16:00:00",21.224231,81.408350,PM10,24,54,36
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","18-03-2026 16:00:00",28.5512005,77.2735737,OZONE,2,160,155
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","18-03-2026 16:00:00","28.594169 ","77.125100 ",PM2.5,24,65,43
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","18-03-2026 16:00:00",28.656756,77.227234,PM10,162,212,183
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","18-03-2026 16:00:00","28.615828 ","77.271992 ",PM10,145,274,184
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","18-03-2026 16:00:00","28.615828 ","77.271992 ",NO2,30,60,42
India,Delhi,Delhi,"DTU, Delhi - CPCB","18-03-2026 16:00:00",28.7500499,77.1112615,PM10,72,180,125
India,Delhi,Delhi,"DTU, Delhi - CPCB","18-03-2026 16:00:00",28.7500499,77.1112615,NO2,23,70,40
India,Delhi,Delhi,"DTU, Delhi - CPCB","18-03-2026 16:00:00",28.7500499,77.1112615,OZONE,26,33,30
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","18-03-2026 16:00:00",28.498571,77.264840,PM10,135,227,170
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","18-03-2026 16:00:00",28.5710274,77.0719006,PM10,133,390,193
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","18-03-2026 16:00:00",22.1910172,83.5197009,OZONE,41,137,88
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","18-03-2026 16:00:00",21.258815,81.578979,PM2.5,17,35,25
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","18-03-2026 16:00:00",21.258815,81.578979,SO2,2,5,3
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","18-03-2026 16:00:00",21.219665,81.630094,PM2.5,12,26,17
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","18-03-2026 16:00:00",21.237755,81.705301,PM2.5,20,46,33
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","18-03-2026 16:00:00",21.237755,81.705301,SO2,3,14,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","18-03-2026 16:00:00",21.237755,81.705301,CO,15,40,19
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","18-03-2026 16:00:00",21.371751,81.664929,PM10,21,134,64
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","18-03-2026 16:00:00",22.06631475,83.33820077,PM2.5,23,84,49
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","18-03-2026 16:00:00",22.06631475,83.33820077,SO2,6,30,11
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-03-2026 16:00:00",28.815329,77.153010,NO2,17,78,39
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-03-2026 16:00:00",28.815329,77.153010,SO2,6,23,11
India,Delhi,Delhi,"Alipur, Delhi - DPCC","18-03-2026 16:00:00",28.815329,77.153010,CO,22,68,34
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","18-03-2026 16:00:00",28.647622,77.3158090,SO2,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","18-03-2026 16:00:00",28.647622,77.3158090,OZONE,3,73,46
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","18-03-2026 16:00:00",28.695381,77.181665,PM2.5,73,315,210
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","18-03-2026 16:00:00",28.695381,77.181665,NH3,6,7,7
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","18-03-2026 16:00:00",28.4706914,77.1099364,PM10,117,283,180
India,Delhi,Delhi,"Bawana, Delhi - DPCC","18-03-2026 16:00:00",28.776200,77.051074,OZONE,3,175,162
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","18-03-2026 16:00:00",28.7256504,77.2011573,NO2,58,98,81
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","18-03-2026 16:00:00",28.5512005,77.2735737,PM10,122,209,168
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","18-03-2026 16:00:00",28.6573814,77.1585447,OZONE,10,311,186
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","18-03-2026 16:00:00",28.530785,77.271255,PM10,137,238,173
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","18-03-2026 16:00:00",28.530785,77.271255,NO2,36,114,78
